release_id,release_datetime,module,environment,commits,lines_changed,test_coverage,defects_open,prior_failed_deploys,build_success_rate,lead_time_days,cycle_time_days,code_smells,vulnerabilities,team_experience_years,hour_of_day,day_of_week,deploy_failed
132,2024-12-22 21:03:49,core-banking,prod,17,1791,0.744,11,1,0.964,5.53,2.69,36,9,1.7,18,0,1
133,2025-02-27 21:03:49,payments,prod,29,1602,0.664,12,1,0.837,5.42,3.2,25,1,1.7,20,6,1
134,2025-09-07 21:03:49,onboarding,prod,25,1735,0.75,11,2,1.0,5.1,2.33,40,4,1.7,4,0,1
135,2024-10-22 21:03:49,internet-banking,prod,31,741,0.898,15,0,0.913,5.94,2.34,41,5,3.2,23,1,1
136,2025-06-07 21:03:49,internet-banking,prod,10,1839,0.46,13,1,1.0,5.01,3.66,30,4,4.0,11,1,1
137,2025-01-29 21:03:49,payments,staging,34,1896,0.912,8,0,0.82,7.32,3.5,36,0,4.0,13,0,1
138,2025-05-20 21:03:49,mobile-app,qa,25,1849,0.671,2,1,0.813,3.11,4.72,38,5,2.9,10,4,1
139,2024-10-11 21:03:49,internet-banking,dev,23,1294,0.579,2,0,0.905,3.43,2.97,35,0,2.2,14,0,1
140,2024-12-30 21:03:49,mobile-app,prod,35,1966,0.71,9,0,0.937,6.39,3.63,36,6,3.3,18,2,0
141,2025-03-13 21:03:49,core-banking,staging,40,1653,0.549,8,0,0.878,4.98,4.4,22,1,3.4,20,0,1
142,2025-03-02 21:03:49,payments,qa,29,1344,0.726,12,2,0.962,7.11,3.04,25,4,3.2,18,2,1
143,2025-04-04 21:03:49,risk-engine,qa,35,1558,0.954,10,2,0.836,5.3,3.25,45,4,4.6,3,6,1
144,2025-01-21 21:03:49,onboarding,qa,17,1083,0.626,16,0,0.91,5.87,3.73,24,0,3.4,6,2,1
145,2025-01-14 21:03:49,mobile-app,staging,17,1187,0.626,18,1,0.948,8.49,5.81,14,1,2.5,16,3,1
146,2025-01-05 21:03:49,payments,prod,28,1531,0.768,14,0,0.87,10.24,3.23,12,0,1.3,11,0,1
147,2025-08-23 21:03:49,risk-engine,staging,30,1935,0.627,7,0,0.914,2.29,2.82,35,3,2.3,23,5,1
148,2024-12-29 21:03:49,onboarding,qa,35,1323,0.674,14,0,0.865,7.58,3.98,50,9,2.2,16,5,1
149,2024-10-14 21:03:49,mobile-app,staging,10,1555,0.643,12,1,0.812,6.47,3.15,41,10,3.5,0,1,1
150,2025-05-30 21:03:49,mobile-app,dev,15,873,0.716,11,0,0.876,8.46,2.19,18,6,3.7,1,5,1
151,2025-08-09 21:03:49,core-banking,prod,36,878,0.712,15,1,0.983,3.64,3.33,37,7,3.8,19,0,1
152,2024-09-16 21:03:49,payments,prod,29,1973,0.781,10,1,0.864,6.83,1.91,42,6,3.3,7,1,1
153,2024-11-02 21:03:49,onboarding,qa,5,2241,0.721,17,0,0.937,6.73,3.7,62,6,1.5,16,0,1
154,2025-08-27 21:03:49,payments,prod,36,2056,0.977,8,0,0.876,5.02,2.11,1,2,3.6,21,3,1
155,2025-08-05 21:03:49,internet-banking,staging,27,1995,0.748,18,2,0.94,6.73,2.71,39,10,2.9,10,2,1
156,2025-06-21 21:03:49,payments,prod,1,1810,0.498,19,0,0.98,4.2,1.45,38,3,2.7,4,6,1
157,2025-01-15 21:03:49,mobile-app,staging,33,2387,0.701,1,0,0.965,4.06,2.82,26,8,4.0,5,5,0
158,2025-03-04 21:03:49,internet-banking,qa,13,188,0.735,13,0,1.0,9.14,2.0,30,5,6.0,9,1,1
159,2024-11-04 21:03:49,core-banking,prod,32,839,0.696,11,0,0.872,1.12,3.5,26,4,3.1,21,5,1
160,2025-03-04 21:03:49,payments,staging,31,1131,0.559,15,1,0.896,2.08,3.71,15,4,2.2,1,0,1
161,2025-07-22 21:03:49,onboarding,dev,30,1232,0.818,13,1,0.831,2.71,3.29,30,0,2.6,9,4,1
162,2024-09-20 21:03:49,mobile-app,qa,36,2314,0.646,8,1,0.714,2.28,2.72,53,2,3.3,3,2,0
163,2025-02-01 21:03:49,onboarding,prod,43,586,0.823,6,0,0.881,4.08,2.02,38,6,3.1,15,3,1
164,2025-05-07 21:03:49,payments,staging,33,3062,0.682,9,2,0.966,4.93,2.6,41,1,2.7,21,3,1
165,2025-07-30 21:03:49,core-banking,prod,5,744,0.589,11,0,0.844,4.45,2.56,50,5,3.2,10,1,0
166,2024-10-03 21:03:49,internet-banking,staging,15,1521,0.517,13,1,0.878,9.63,2.12,37,3,3.1,7,3,1
167,2025-03-23 21:03:49,risk-engine,dev,24,1989,0.65,15,0,0.987,10.42,2.88,8,2,4.6,5,1,1
168,2025-07-30 21:03:49,core-banking,staging,37,2051,0.872,13,1,0.875,4.8,4.71,37,6,3.3,15,5,0
169,2025-01-28 21:03:49,onboarding,staging,7,1370,0.898,10,1,1.0,7.36,2.93,30,7,2.6,2,2,0
170,2025-05-05 21:03:49,internet-banking,dev,23,2127,0.633,3,0,0.95,6.96,3.41,31,6,3.1,2,1,1
171,2025-07-05 21:03:49,payments,prod,29,492,0.709,9,1,0.931,5.24,0.9,45,8,4.8,8,6,0
172,2025-01-21 21:03:49,payments,staging,36,935,0.74,14,0,0.938,10.55,3.64,52,4,3.1,4,3,1
173,2025-04-27 21:03:49,payments,prod,38,905,0.817,11,1,0.937,7.99,3.08,51,4,3.9,1,6,1
174,2024-12-09 21:03:49,mobile-app,staging,8,1006,0.844,13,1,0.983,4.91,4.41,33,4,4.5,13,5,0
175,2025-04-24 21:03:49,core-banking,qa,11,499,0.802,8,0,0.751,4.64,2.99,46,1,5.0,15,5,0
176,2024-12-23 21:03:49,core-banking,prod,19,1406,0.855,19,1,0.897,6.18,2.01,34,4,4.5,4,1,0
177,2025-04-01 21:03:49,core-banking,staging,22,1898,0.661,14,0,0.822,4.09,4.45,33,8,2.6,19,6,1
178,2025-01-02 21:03:49,payments,qa,26,2271,0.637,11,3,0.921,4.1,2.82,40,0,2.4,6,5,1
179,2025-01-05 21:03:49,core-banking,staging,21,1337,0.718,8,1,1.0,5.07,3.49,32,5,4.9,23,0,0
180,2025-03-28 21:03:49,payments,prod,22,2097,0.651,4,0,0.759,5.52,4.29,12,0,2.1,9,5,0
181,2025-03-19 21:03:49,mobile-app,prod,29,1587,0.759,7,0,0.811,7.67,4.19,37,3,3.6,6,1,0
182,2024-12-03 21:03:49,internet-banking,qa,32,1455,0.606,11,1,0.909,6.32,4.04,21,4,4.6,18,4,1
183,2025-06-02 21:03:49,onboarding,prod,15,1398,0.904,5,1,0.796,9.45,2.54,34,2,2.2,8,6,1
184,2025-04-25 21:03:49,core-banking,staging,31,1001,0.542,17,1,0.984,5.06,2.83,43,5,2.8,12,1,1
185,2024-12-16 21:03:49,risk-engine,qa,31,1698,0.795,16,2,0.771,4.93,3.89,28,1,1.2,20,3,1
186,2024-11-27 21:03:49,mobile-app,staging,30,1353,0.704,9,0,0.944,5.07,3.47,22,8,2.5,21,1,1
187,2024-10-12 21:03:49,mobile-app,staging,25,1466,0.662,9,0,0.891,4.43,2.48,48,6,3.8,5,2,1
188,2025-02-13 21:03:49,risk-engine,staging,34,2024,0.622,7,0,1.0,2.17,3.28,18,2,2.8,7,3,1
189,2024-10-30 21:03:49,core-banking,staging,10,1967,0.795,16,0,0.924,7.35,1.97,35,3,5.2,15,4,0
190,2025-06-09 21:03:49,core-banking,dev,34,2082,0.62,14,0,0.944,6.46,4.2,35,3,4.4,9,6,1
191,2025-04-26 21:03:49,mobile-app,qa,19,1127,0.799,16,0,1.0,8.74,3.24,25,8,3.1,2,4,1
192,2024-11-15 21:03:49,onboarding,dev,31,1029,0.99,6,1,0.941,9.06,3.06,41,0,2.5,21,1,1
193,2024-11-10 21:03:49,internet-banking,qa,11,1177,0.637,13,0,0.972,7.5,4.14,34,4,3.8,11,6,1
194,2024-11-25 21:03:49,risk-engine,qa,29,1443,0.654,8,0,0.978,6.16,2.14,44,2,1.7,6,3,1
195,2024-12-16 21:03:49,core-banking,dev,36,1512,0.6,14,1,1.0,6.0,0.76,39,9,4.9,17,1,1
196,2025-09-01 21:03:49,onboarding,dev,27,736,0.656,8,0,0.964,6.55,1.65,31,1,4.2,14,5,0
197,2025-03-04 21:03:49,payments,qa,7,2352,0.68,8,0,1.0,6.05,2.71,33,4,5.0,21,4,0
198,2024-12-14 21:03:49,core-banking,prod,32,1323,0.468,1,1,0.942,6.23,3.18,58,0,3.2,9,0,1
199,2025-02-01 21:03:49,payments,staging,39,1091,0.923,11,0,0.896,5.94,2.42,36,4,2.3,16,6,1
200,2024-11-29 21:03:49,internet-banking,qa,40,1382,0.746,5,1,1.0,6.42,4.59,37,8,3.9,3,6,1
201,2024-10-10 21:03:49,risk-engine,staging,17,773,0.953,16,0,1.0,7.38,4.97,16,3,2.7,2,4,1
202,2024-12-11 21:03:49,payments,staging,48,1288,0.678,12,0,0.855,4.74,4.06,39,0,1.9,21,0,1
203,2025-01-10 21:03:49,risk-engine,qa,25,1941,0.584,7,1,0.892,7.14,1.77,39,7,3.7,16,1,1
204,2025-04-20 21:03:49,onboarding,qa,37,1428,0.631,9,0,0.87,6.97,3.52,45,8,4.3,6,3,1
205,2025-04-30 21:03:49,mobile-app,qa,13,1234,0.673,8,0,0.994,6.4,5.47,37,3,3.2,14,1,0
206,2024-10-10 21:03:49,core-banking,qa,33,1624,0.563,15,2,0.831,5.98,1.27,19,7,2.7,1,0,1
207,2025-06-27 21:03:49,internet-banking,prod,32,802,0.629,12,1,0.999,4.67,3.94,25,9,2.0,15,4,1
208,2025-04-07 21:03:49,internet-banking,dev,14,1186,0.798,17,0,0.904,7.52,3.13,19,1,3.5,22,5,0
209,2024-11-06 21:03:49,core-banking,prod,32,1099,0.705,7,1,0.927,6.37,3.69,41,4,3.8,7,6,0
210,2025-06-12 21:03:49,onboarding,prod,31,1098,0.725,8,0,0.81,8.53,4.07,41,9,3.0,6,2,1
211,2025-07-10 21:03:49,payments,staging,21,1723,0.804,11,1,0.919,6.54,2.09,40,3,2.5,5,0,1
212,2025-01-26 21:03:49,core-banking,staging,18,1469,0.775,14,0,0.848,6.68,2.12,27,1,1.9,7,2,0
213,2025-04-26 21:03:49,internet-banking,dev,32,443,0.806,12,1,0.93,4.03,1.5,26,5,4.0,3,4,1
214,2024-09-20 21:03:49,risk-engine,prod,11,646,0.638,12,2,0.891,8.12,1.7,32,7,2.7,4,3,1
215,2024-11-05 21:03:49,payments,staging,29,1294,0.768,13,0,0.856,6.08,2.94,43,0,4.3,14,5,1
216,2025-04-02 21:03:49,risk-engine,dev,35,2356,0.729,3,1,0.92,4.82,2.09,34,5,1.6,11,4,1
217,2024-10-27 21:03:49,internet-banking,prod,20,1827,0.83,15,0,0.808,8.23,2.15,38,4,3.7,3,5,1
218,2024-11-27 21:03:49,internet-banking,prod,26,2189,0.716,4,2,0.87,6.68,2.35,54,1,2.8,19,2,1
219,2024-11-22 21:03:49,risk-engine,dev,20,1737,0.445,11,1,0.835,8.16,2.67,32,2,1.1,0,2,1
220,2025-01-02 21:03:49,risk-engine,staging,21,2546,0.797,9,0,0.841,8.02,1.64,47,2,2.1,9,0,1
221,2024-09-15 21:03:49,internet-banking,prod,19,1872,0.764,11,1,0.912,7.1,5.06,46,6,6.6,15,3,1
